
2024/10/21 (21:58:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/21 (21:58:25) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/21 (21:58:25) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/21 (21:58:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/22 (12:39:43) | ===> btop++ v.1.4.0
2024/10/22 (12:39:43) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/22 (12:39:43) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/22 (12:39:43) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/22 (12:39:43) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/22 (12:39:43) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/22 (16:59:41) | ===> btop++ v.1.4.0
2024/10/22 (16:59:41) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/22 (16:59:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/22 (16:59:41) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/22 (16:59:41) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/22 (16:59:41) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/22 (18:10:45) | ===> btop++ v.1.4.0
2024/10/22 (18:10:45) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/22 (18:10:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/22 (18:10:45) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/22 (18:10:45) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/22 (18:10:45) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/22 (20:49:17) | ===> btop++ v.1.4.0
2024/10/22 (20:49:17) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/22 (20:49:17) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/22 (20:49:17) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/22 (20:49:17) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/22 (20:49:17) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/22 (21:05:06) | ===> btop++ v.1.4.0
2024/10/22 (21:05:06) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/22 (21:05:06) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/22 (21:05:06) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/22 (21:05:06) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/22 (21:05:06) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/22 (21:15:01) | ===> btop++ v.1.4.0
2024/10/22 (21:15:01) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/22 (21:15:01) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/22 (21:15:01) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/22 (21:15:01) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/22 (21:15:01) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/22 (22:05:13) | ===> btop++ v.1.4.0
2024/10/22 (22:05:13) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/22 (22:05:13) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/22 (22:05:13) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/22 (22:05:13) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/22 (22:05:13) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/22 (22:30:48) | ===> btop++ v.1.4.0
2024/10/22 (22:30:48) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/22 (22:30:48) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/22 (22:30:48) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/22 (22:30:48) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/22 (22:30:48) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/22 (22:50:36) | ===> btop++ v.1.4.0
2024/10/22 (22:50:36) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/22 (22:50:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/22 (22:50:36) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/22 (22:50:36) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/22 (22:50:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/23 (00:26:32) | ===> btop++ v.1.4.0
2024/10/23 (00:26:32) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/23 (00:26:32) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/23 (00:26:32) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/23 (00:26:32) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/23 (00:26:32) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/23 (00:36:33) | ===> btop++ v.1.4.0
2024/10/23 (00:36:33) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/23 (00:36:33) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/23 (00:36:33) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/23 (00:36:33) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/23 (00:36:33) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/23 (11:57:20) | ===> btop++ v.1.4.0
2024/10/23 (11:57:20) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/23 (11:57:20) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/23 (11:57:20) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/23 (11:57:20) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/23 (11:57:20) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/23 (11:57:36) | ===> btop++ v.1.4.0
2024/10/23 (11:57:36) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/23 (11:57:36) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/23 (11:57:36) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/23 (11:57:36) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/23 (11:57:36) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/23 (14:13:00) | ===> btop++ v.1.4.0
2024/10/23 (14:13:00) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/23 (14:13:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/23 (14:13:00) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/23 (14:13:00) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/23 (14:13:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/23 (20:59:24) | ===> btop++ v.1.4.0
2024/10/23 (20:59:24) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/23 (20:59:24) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/23 (20:59:24) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/23 (20:59:24) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/10/23 (20:59:24) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/24 (23:22:45) | ===> btop++ v.1.4.0
2024/10/24 (23:22:45) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/10/24 (23:22:45) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/24 (23:22:45) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/10/24 (23:22:45) | WARNING: ROCm SMI: Failed to get GPU power usage
